short_name_ENG_i,short_name_ENG_j,f_ij,n_ij
Tufted carpets and other ,Knotted carpets and other,1,1
Tufted carpets and other ,Woven carpets and other w,1,1
Searchlights and spotligh,Hard rubber or plastic co,79,6
Searchlights and spotligh,Metal parts (excluding tu,75,1
Searchlights and spotligh,"Spools, cops, bobbins and",42,4
Searchlights and spotligh,Machines for treating met,42,4
Searchlights and spotligh,Iron or steel equipment f,37,1
Searchlights and spotligh,Parts of electrical signa,33,4
Searchlights and spotligh,Bumpers and parts thereof,29,4
Searchlights and spotligh,"Other plates..., of polym",29,1
Searchlights and spotligh,"Boards, panels, consoles,",29,6
Searchlights and spotligh,The order of part operati,27,1
Searchlights and spotligh,Plugs and sockets for coa,23,5
Searchlights and spotligh,Iron or steel hot-worked ,22,2
Searchlights and spotligh,"Plastic boxes, cases, cra",22,1
Searchlights and spotligh,Numerical control panels ,21,7
Searchlights and spotligh,Railway or tramway track ,20,4
Searchlights and spotligh,Builder’s fittings and mo,19,1
Searchlights and spotligh,Parts for vacuum cleaners,19,4
Searchlights and spotligh,"Appliance cords, extensio",18,5
Searchlights and spotligh,Sub-contracted operations,1,1
Searchlights and spotligh,Parts for machines for as,17,2
Searchlights and spotligh,Chandeliers and other ele,17,4
Searchlights and spotligh,Parts and accessories for,4,1
Searchlights and spotligh,Printing onto textiles,16,1
Searchlights and spotligh,Ferrite cores of transfor,16,4
Searchlights and spotligh,Articles of cellular rubb,15,2
Searchlights and spotligh,Electrical apparatus for ,2,2
Searchlights and spotligh,Rectifiers (excluding of ,14,6
Searchlights and spotligh,"Plastic carboys, bottles,",13,1
Searchlights and spotligh,Rubber compounded with ca,13,2
Searchlights and spotligh,Parts of electrical ignit,13,1
Searchlights and spotligh,Parts for air conditionin,12,2
Searchlights and spotligh,Wrought steel shaped free,12,1
Searchlights and spotligh,"Non-cellular plates, shee",12,2
Searchlights and spotligh,Inductors for discharge l,11,6
Searchlights and spotligh,Vacuum cleaners with a se,11,1
Searchlights and spotligh,Parts and accessories of ,1,1
Searchlights and spotligh,"Aluminium plates, sheets ",10,1
Searchlights and spotligh,Machines with translation,10,3
Searchlights and spotligh,Multichip integrated circ,10,5
Searchlights and spotligh,Services connected with p,10,1
Searchlights and spotligh,Iron or steel spring wash,10,2
Searchlights and spotligh,"Plastic parts for lamps, ",9,2
Searchlights and spotligh,Safety seat belts,9,1
Searchlights and spotligh,"Printers, capable of conn",9,3
Searchlights and spotligh,Base stations,9,4
Searchlights and spotligh,Machinery and apparatus f,4,1
Searchlights and spotligh,"Trunking, ducting and cab",9,4
Searchlights and spotligh,Measuring transformers ha,8,3
Searchlights and spotligh,Electronic gas or smoke a,8,1
Searchlights and spotligh,Test benches,8,4
Searchlights and spotligh,Parts of gas turbines (ex,8,1
Searchlights and spotligh,"Plates, sheet, film, foil",8,1
Searchlights and spotligh,"Shavers, hair-removing ap",8,1
Searchlights and spotligh,"Plastic baths, shower-bat",8,1
Searchlights and spotligh,Parts of machinery of HS ,1,1
Searchlights and spotligh,"Cases, boxes, crates, dru",7,1
Searchlights and spotligh,"Flexible tubes, pipes and",7,1
Searchlights and spotligh,Multiple-walled insulatin,7,1
Searchlights and spotligh,Electrical or battery ope,7,3
Searchlights and spotligh,Other electric conductors,7,5
Searchlights and spotligh,Furniture of plastics (ex,7,1
Searchlights and spotligh,Instruments and apparatus,7,1
Searchlights and spotligh,Screws and bolts for fixi,7,2
Searchlights and spotligh,Adhesives based on natura,7,1
Searchlights and spotligh,Precious or semi-precious,7,2
Searchlights and spotligh,Tapping tools for working,6,2
Searchlights and spotligh,Fluorescent hot cathode d,6,1
Searchlights and spotligh,Parts for electric filame,6,2
Searchlights and spotligh,Multilayer printed circui,6,2
Searchlights and spotligh,Telescopic and whip-type ,6,2
Searchlights and spotligh,"Parts of furniture, of me",6,2
Searchlights and spotligh,Sheet metal forming of st,6,1
Searchlights and spotligh,Self-adhesive strips of p,6,1
Searchlights and spotligh,Monofilament with any cro,6,2
Searchlights and spotligh,"Cold-rolled sheet, plate ",5,1
Searchlights and spotligh,Heat exchange units,5,1
Searchlights and spotligh,Apparatus based on the us,5,1
Searchlights and spotligh,Other units of automatic ,5,1
Searchlights and spotligh,Parts of electrical telep,5,2
Searchlights and spotligh,Other digital automatic d,5,1
Searchlights and spotligh,Parts of radar apparatus ,5,3
Searchlights and spotligh,Cylinders for calendering,5,2
Searchlights and spotligh,Microphones and their sta,5,1
Searchlights and spotligh,"Washers, rivets, cotters,",5,1
Searchlights and spotligh,"Files, rasps and similar ",5,2
Searchlights and spotligh,Parts of portable electri,5,3
Searchlights and spotligh,Base metal hinges,5,2
Searchlights and spotligh,"Syringes, with or without",5,1
Searchlights and spotligh,Fuses for a voltage > 1 k,5,1
Searchlights and spotligh,Hydraulic brake fluids an,4,1
Searchlights and spotligh,"Prefabricated buildings, ",4,1
Searchlights and spotligh,Aluminium tubes and pipes,4,1
Searchlights and spotligh,Base metal padlocks,4,1
Searchlights and spotligh,Bodies for motor cars and,4,1
Searchlights and spotligh,Parts of locomotives or r,4,1
Searchlights and spotligh,Parts of pumps for liquid,4,1
Searchlights and spotligh,Parts of air and vacuum p,4,1
Searchlights and spotligh,Fixed electrical resistor,4,2
Searchlights and spotligh,Fixed electrical capacito,4,1
Searchlights and spotligh,Hydraulic cylinders,4,1
Searchlights and spotligh,Pneumatic elevators and c,4,1
Searchlights and spotligh,"Textile fabrics, impregna",4,1
Searchlights and spotligh,Electric motors of an out,4,1
Searchlights and spotligh,"Other recording media, in",4,1
Searchlights and spotligh,Hermetically sealed nicke,4,1
Searchlights and spotligh,"Vacuum cleaners, includin",4,2
Searchlights and spotligh,Sealed beam lamp units,4,1
Searchlights and spotligh,Filament lamps for motorc,4,2
Searchlights and spotligh,Flashlights (including  p,4,1
Searchlights and spotligh,Passive networks (includi,4,4
Searchlights and spotligh,Endless bands for machine,3,1
Searchlights and spotligh,Semiconductor light emitt,3,1
Searchlights and spotligh,Storage units,3,1
Searchlights and spotligh,Desk top PCs,3,1
Searchlights and spotligh,Digital data processing m,3,1
Searchlights and spotligh,Instruments for measuring,3,1
Searchlights and spotligh,Office machines,3,2
Searchlights and spotligh,Portable electric lamps w,3,1
Searchlights and spotligh,Tungsten halogen filament,3,2
Searchlights and spotligh,Parts for centrifuges and,3,1
Searchlights and spotligh,Pumps fitted or designed ,3,1
Searchlights and spotligh,Electric soldering irons ,3,1
Searchlights and spotligh,Electric hair dryers,3,1
Searchlights and spotligh,Gymnasium or athletics ar,3,1
Searchlights and spotligh,Insulated ignition wiring,3,2
Searchlights and spotligh,Lead-acid accumulators of,3,1
Searchlights and spotligh,Parts of printing and boo,3,1
Searchlights and spotligh,Rubber transmission belts,3,1
Searchlights and spotligh,Electronic flow meters (e,2,3
Searchlights and spotligh,Single loudspeakers mount,2,1
Searchlights and spotligh,Relays for a voltage ≤ 60,2,3
Searchlights and spotligh,Direction finding compass,2,1
Searchlights and spotligh,Armoured or reinforced sa,2,1
Searchlights and spotligh,"Base metal hooks, eyes, e",2,1
Searchlights and spotligh,Radar apparatus,2,2
Searchlights and spotligh,Insulated coaxial cables ,2,1
Searchlights and spotligh,Transmission apparatus fo,2,1
Searchlights and spotligh,Telephones for cellular n,2,1
Searchlights and spotligh,Video camera recorders,2,1
Searchlights and spotligh,Parts suitable for use so,2,1
Searchlights and spotligh,"Multifunctional devices, ",2,1
Searchlights and spotligh,Tuner blocks for CTV/VCR ,2,1
Searchlights and spotligh,Sparking plugs,2,1
Searchlights and spotligh,"Parts of agricultural, ho",2,1
Searchlights and spotligh,Metal furniture (excludin,2,2
Searchlights and spotligh,Parts of electrical resis,2,1
Searchlights and spotligh,"Electrical signalling, sa",2,1
Searchlights and spotligh,Iron or steel gas domesti,2,2
Searchlights and spotligh,Cloth washing and drying ,2,1
Searchlights and spotligh,"Submersible motor, single",2,1
Searchlights and spotligh,Rubber tubing not reinfor,2,1
Searchlights and spotligh,Plastic fittings for furn,2,1
Searchlights and spotligh,Other ceramic articles of,2,1
Searchlights and spotligh,"Stranded wire, ropes and ",2,1
Searchlights and spotligh,"Tanks, casks, drums, cans",2,1
Searchlights and spotligh,Artificial guts (sausage ,2,1
Searchlights and spotligh,"Self-adhesive plates, she",2,1
Searchlights and spotligh,"Chassis for trailers, sem",1,1
Searchlights and spotligh,Containers specially desi,1,1
Searchlights and spotligh,Base metal clasps and fra,1,1
Searchlights and spotligh,Base metal cylinder locks,1,2
Searchlights and spotligh,Television cameras (inclu,1,1
Searchlights and spotligh,"Nails, tacks, drawing pin",1,1
Searchlights and spotligh,"Table, kitchen or househo",1,1
Searchlights and spotligh,"Plastic reservoirs, tanks",1,1
Searchlights and spotligh,Copper tubes and pipes,1,1
Searchlights and spotligh,"Silver, unwrought or in p",1,1
Searchlights and spotligh,"Flanges, of steel (exclud",1,1
Searchlights and spotligh,Parts of bearing housings,1,1
Searchlights and spotligh,"Hydraulic systems, with c",1,1
Searchlights and spotligh,Pressure-reducing valves ,1,1
Searchlights and spotligh,"Balls, needles and roller",1,1
Searchlights and spotligh,Gear boxes for stationary,1,1
Searchlights and spotligh,Prefabricated buildings o,1,1
Searchlights and spotligh,Fire extinguishers,1,1
Searchlights and spotligh,Fuses for a voltage ≤ 1 k,1,3
Searchlights and spotligh,Automatic circuit breaker,1,3
Searchlights and spotligh,Electronic thermostats,1,3
Searchlights and spotligh,Electro-cardiographs,1,1
Searchlights and spotligh,Indicator panels incorpor,1,2
Searchlights and spotligh,Parts of machines and app,1,1
Refractory ceramic constr,Household gas tariff (to ,13,1
Refractory ceramic constr,Repair and maintenance of,1,1
Refractory ceramic constr,Metal parts (excluding tu,6,1
Refractory ceramic constr,Iron or steel equipment f,5,1
Refractory ceramic constr,"Refractory cements, morta",4,2
Refractory ceramic constr,Sub-contracted operations,1,1
Refractory ceramic constr,Non-electric furnaces and,3,1
Perishable foods includin,Fresh bread containing by,13,3
Perishable foods includin,Cake and pastry products;,9,2
Perishable foods includin,Caramel,4,1
Perishable foods includin,Matzos,1,1
"Polyacetals, in primary f",Heat water or steam heat ,12,1
"Polyacetals, in primary f",Liquid air; compressed ai,12,1
"Polyacetals, in primary f",Repair and maintenance of,1,1
"Polyacetals, in primary f",Distribution services of ,2,1
"Polyacetals, in primary f",Secondary raw material of,1,1
"Polyacetals, in primary f",Hard rubber or plastic co,9,1
"Polyacetals, in primary f",Non-drinking water,8,1
"Polyacetals, in primary f",Rock drilling or earth bo,7,1
"Polyacetals, in primary f","Paints and varnishes, bas",1,1
"Polyacetals, in primary f",Chlorine,7,1
"Polyacetals, in primary f",Acyclic ethers and their ,6,1
"Polyacetals, in primary f",Oil paints and varnishes ,5,1
"Polyacetals, in primary f",Sacks and bags of polymer,5,1
"Polyacetals, in primary f","Other plates..., of polym",5,1
"Polyacetals, in primary f",Cyclohexane,5,1
"Polyacetals, in primary f",Ion-exchangers; getters f,4,2
"Polyacetals, in primary f","Plastic boxes, cases, cra",4,1
"Polyacetals, in primary f","Sulphides of calcium, of ",4,1
"Polyacetals, in primary f",Builder’s fittings and mo,4,1
