Rank,HS6_Code,Short_Name_ENG,ESRI_Score
1,293230,Bumpers and parts thereof,2550282.5248224977
2,251123,Iron or steel equipment f,2001322.1673859726
3,256220,Metal parts (excluding tu,1700586.8121831324
4,256210,Turned metal parts for ta,1631352.8060195262
5,222929,Hard rubber or plastic co,1579866.560024558
6,107111,Fresh bread containing by,1526222.7765306646
7,107112,Cake and pastry products;,1407967.2940790015
8,353011,Heat water or steam heat ,1208684.1392472887
9,259929,Railway or tramway track ,1080194.4428435783
10,351110,"Electricity, combined and",1016838.3909061695
11,101314,Liver sausages and simila,991962.2177278177
12,360011,Drinking water,966378.4080908749
13,256290,The order of part operati,924727.2975695289
14,109110,Premixtures for farm anim,900331.8127798334
15,331219,Repair and maintenance of,896633.2819934987
16,222991,Plastic parts for machine,894948.2848369898
17,289939,Machines for treating met,873509.9627519639
18,222219,"Spools, cops, bobbins and",840020.1272933942
19,351410,General electric price ta,839796.7938999385
20,251199,Sub-contracted operations,772069.0247593158
21,293220,Safety seat belts,771510.521172047
22,271240,"Boards, panels, consoles,",762071.1000885613
23,101112,Fresh or chilled carcases,750615.0051144086
24,256122,Wet painting and varnishi,732767.5997862791
25,101150,Pig fat free of lean meat,729911.188535736
26,101311,"Hams, shoulders and cuts ",695316.1589136949
27,257350,Moulding boxes for metal ,684511.3748629516
28,352310,Household gas tariff (to ,674240.578459291
29,282219,Parts of machinery of HS ,662788.9490420588
30,271231,Numerical control panels ,648071.5126279319
31,110719,"Waters, with added sugar,",645091.2186160467
32,222130,"Other plates..., of polym",622399.2482994364
33,101315,Prepared or preserved goo,604243.9058605961
34,351310,Distribution services of ,601717.0598213794
35,279033,Parts of electrical signa,600928.3758492339
36,331229,Repair and maintenance se,600522.103808226
37,105140,Unripened or uncured chee,595114.0201519431
38,212013,Medicaments of alkaloids ,586615.6835327479
39,275130,Parts for vacuum cleaners,575190.4485137857
40,110212,White wine with a protect,567804.7711876453
41,353012,Steam and hot water suppl,558993.2946185457
42,221973,Articles of cellular rubb,554999.1843362988
43,222211,Sacks and bags of polymer,554357.5014914838
44,252911,"Iron or steel reservoirs,",537528.5247092408
45,360012,Non-drinking water,537119.1792890069
46,236310,Ready-mixed concrete,524322.7277382456
47,101139,Edible offal of bovine an,524205.01998415426
48,273313,Plugs and sockets for coa,516959.22322813986
49,108919,Caramel,516264.4911132309
50,172113,"Cartons, boxes and cases,",515403.38036169956
51,204132,Surface-active preparatio,514145.52883841464
52,222214,"Plastic carboys, bottles,",507931.9230657509
53,101210,Fresh or chilled whole ch,501881.8406469094
54,222213,"Plastic boxes, cases, cra",497891.9110248166
55,274030,Searchlights and spotligh,495502.7694919313
56,257360,Rock drilling or earth bo,491768.1624493157
57,293130,Parts of electrical ignit,488483.88247400196
58,293292,Assembly services of part,487465.40870749776
59,107219,Matzos,484347.06564364466
60,105130,Butter of a fat content b,469269.97373740363
61,302040,Parts of locomotives or r,465781.13193222816
62,101120,Edible offal of bovine an,461815.91831366037
63,281141,Parts suitable for use so,444615.20096992346
64,105152,"Curdled milk, cream, yogu",431611.91062736715
65,105111,Milk and cream of a fat c,424998.5276025467
66,222923,Tableware and kitchenware,419097.29570392764
67,271161,Parts suitable for use so,414788.73368425673
68,284140,Parts and accessories for,413063.39192286326
69,281133,Parts of gas turbines (ex,407430.4040440214
70,181214,"Printed books, brochures,",405620.7467995621
71,279041,Rectifiers (excluding of ,401317.72002573527
72,181219,Printed calendars of any ,398381.4438403469
73,273311,Electrical apparatus for ,398279.9991149158
74,161025,"Wood in chips, particles,",397337.0100447731
75,245310,Light metal castings for ,396848.35820835293
76,81212,Gravel and pebbles of a k,386602.41874126036
77,331411,Repair and maintenance of,384302.31753795303
78,271150,Inductors for discharge l,378321.59993886243
79,251110,"Prefabricated buildings, ",375981.01486030826
80,201452,"Tetrahydrofuran, 2-Furald",375246.1952918502
81,221920,Rubber compounded with ca,370479.4607980139
82,162411,Flat pallets and pallet c,369997.9090380942
83,222319,Builder’s fittings and mo,369411.8383655077
84,101111,Fresh or chilled carcases,368865.80708707846
85,212012,Medicaments containing in,368824.6508333597
86,331212,Repair and maintenance of,364335.47697126877
87,109210,"Dog or cat food, p.r.s.",361816.99664527527
88,259411,Screws and bolts for fixi,357378.06224225485
89,261130,Multichip integrated circ,357160.89530354284
90,257340,Tapping tools for working,356309.15422137995
91,383233,Secondary raw material of,355554.24286360765
92,291023,Motor vehicles with only ,355550.3640867245
93,283091,Parts of machinery and ap,354830.97802650096
94,331711,Repair and maintenance of,352763.84778212215
95,257399,Sub-contracted operations,352712.9074456748
96,331419,Repair and maintenance of,352681.8142878342
97,281142,Parts suitable for use so,351948.22614294244
98,271162,Ferrite cores of transfor,351913.9246073085
99,181216,Printing onto textiles,349683.9188469143
100,291022,Motor vehicles with only ,346408.9044485499
101,212011,Medicaments containing pe,346330.7443346425
102,289952,Parts for machines for as,346074.6060028492
103,325013,"Syringes, with or without",345369.9364259232
104,201444,"Diazo-, azo- or azoxy-com",344184.74725626246
105,161012,"Wood, sawn or chipped len",342006.1871409918
106,103917,"Preserved tomatoes, whole",334284.0857227053
107,261210,Passive networks (includi,332403.21483870526
