Rank,HS6_Code,Short_Name_ENG,ESRI_Score
1,259929,Railway or tramway track ,0.04523659880960852
2,251123,Iron or steel equipment f,0.03918843174252662
3,222929,Hard rubber or plastic co,0.03885841434609567
4,271231,Numerical control panels ,0.03648618862943695
5,271240,"Boards, panels, consoles,",0.0337048897387562
6,273313,Plugs and sockets for coa,0.0324282052892441
7,256220,Metal parts (excluding tu,0.030132586358358672
8,293230,Bumpers and parts thereof,0.029521285453347437
9,279041,Rectifiers (excluding of ,0.029002662372828086
10,273311,Electrical apparatus for ,0.02888148380939362
11,289939,Machines for treating met,0.02807243369439682
12,279044,"Appliance cords, extensio",0.02726849808650705
13,265185,Parts and accessories of ,0.026196235477389338
14,282219,Parts of machinery of HS ,0.02479328129189951
15,221973,Articles of cellular rubb,0.024538743724543323
16,274030,Searchlights and spotligh,0.02438680968325396
17,259411,Screws and bolts for fixi,0.024369392825405314
18,273213,Other electric conductors,0.02412896860575129
19,265182,Parts and accessories for,0.023637205571005276
20,265166,Test benches,0.02346201525232204
21,265152,Electronic flow meters (e,0.023456381441102722
22,261130,Multichip integrated circ,0.023191508661584596
23,273314,"Trunking, ducting and cab",0.022959928076490523
24,257330,"Files, rasps and similar ",0.022933833329194735
25,256210,Turned metal parts for ta,0.022522853490169747
26,271224,Relays for a voltage ≤ 60,0.02238495465698014
27,263023,Base stations,0.02207227829941045
28,222219,"Spools, cops, bobbins and",0.021770355671878093
29,282530,Parts for air conditionin,0.021657249886056894
30,281539,Parts of bearing housings,0.02131768218651435
31,222130,"Other plates..., of polym",0.021173448441195373
32,289952,Parts for machines for as,0.021024096758294884
33,259413,"Washers, rivets, cotters,",0.019976875208837012
34,242033,"Tubes and pipes, of circu",0.019963703388768617
35,279011,Machines with translation,0.019791089604005697
36,222129,"Flexible tubes, pipes and",0.019620663755628466
37,271150,Inductors for discharge l,0.019284338092865196
38,139229,"Floor-cloths, dish-cloths",0.01924908562998273
39,259316,Iron or steel hot-worked ,0.019117910691697527
40,263030,Parts of electrical telep,0.01909070815800124
41,259412,Iron or steel spring wash,0.018982328621130994
42,242040,"Flanges, of steel (exclud",0.018957711848780767
43,257214,Base metal hinges,0.01874196848897576
44,261210,Passive networks (includi,0.01870390459640128
45,271221,Fuses for a voltage ≤ 1 k,0.01864249026266265
46,281331,Parts of pumps for liquid,0.01837430486481333
47,310911,Metal furniture (excludin,0.018085077982717853
48,265170,Electronic thermostats,0.018031095340639427
49,221920,Rubber compounded with ca,0.017969375823093717
50,271110,Electric motors of an out,0.01773552284223381
51,222922,"Self-adhesive plates, she",0.01768064081048776
52,267026,Parts and accessories of ,0.01753275132601961
53,282983,Cylinders for calendering,0.01740182240044448
54,289261,Parts for boring or sinki,0.01701800606659033
55,293220,Safety seat belts,0.01691628719015809
56,162413,"Cases, boxes, crates, dru",0.01655410629875603
57,222142,"Non-cellular plates, shee",0.016531705658722695
58,279033,Parts of electrical signa,0.016184918562519267
59,262016,"Printers, capable of conn",0.01617186741443231
60,282912,Machinery and apparatus f,0.016162666616123127
61,282922,Fire extinguishers,0.01615551402198885
62,282984,Non-automatic lubricating,0.016130134491913504
63,283092,"Parts of agricultural, ho",0.0160473167221912
64,256290,The order of part operati,0.01603163510652244
65,139614,"Textile fabrics, impregna",0.01596869915559991
66,244226,Aluminium tubes and pipes,0.015828466939413966
67,251199,Sub-contracted operations,0.015688865169207002
68,259311,"Stranded wire, ropes and ",0.01566003086707834
69,222141,"Plates, sheet, film, foil",0.015593468235142662
70,329119,"Paint brushes, distemperi",0.015576074620133848
71,281524,Gear boxes for stationary,0.015535554526242024
72,257211,Base metal padlocks,0.015497689316837945
73,222921,Self-adhesive strips of p,0.015347362269351779
74,282982,Parts for centrifuges and,0.015339645527283658
75,222110,Monofilament with any cro,0.01533042998894147
76,244422,Copper and copper alloy b,0.015235921006572655
77,242034,"Tubes and pipes, of non-c",0.015132047085950326
78,222214,"Plastic carboys, bottles,",0.01510358613684174
79,259317,Iron/steel stud-link chai,0.015047291731093542
80,205210,Adhesives based on natura,0.014973208050060536
81,281332,Parts of air and vacuum p,0.014964939230925654
82,259111,"Tanks, casks, drums, cans",0.014916799475556419
83,242013,"Tubes and pipes, of circu",0.01487975948786297
84,281523,Bearing housings incorpor,0.014864868963436416
85,141334,Women’s or girls’ dresses,0.014850891357954794
86,281531,"Balls, needles and roller",0.014685329977294739
87,281522,Cranks and crankshafts,0.014649502194505656
88,281141,Parts suitable for use so,0.01463687692055201
89,271222,Automatic circuit breaker,0.014590863343857072
90,282217,Pneumatic elevators and c,0.014533568505377464
91,263013,Television cameras (inclu,0.01446579853907726
92,221930,Rubber tubing not reinfor,0.014426013658219139
93,222213,"Plastic boxes, cases, cra",0.014323507478742361
94,274012,Tungsten halogen filament,0.014292092395876185
95,132031,Woven fabrics of man-made,0.014215222353296916
96,259313,Endless bands for machine,0.013990545414461762
97,172911,Self-adhesive printed lab,0.013985148984732205
98,292023,Other trailers and semi-t,0.013981681664847454
99,257212,Base metal cylinder locks,0.013979855441717112
100,281314,"Submersible motor, single",0.013915480388443882
101,292030,"Chassis for trailers, sem",0.01384574396232105
102,293110,Insulated ignition wiring,0.013836036325179565
103,243110,"Bars and rods, of non-all",0.013824227586681883
104,281216,"Hydraulic systems, with c",0.013779603297079938
105,281521,Iron or steel roller chai,0.013750246031054876
106,162411,Flat pallets and pallet c,0.013691965765876201
107,222121,Artificial guts (sausage ,0.013549819638497999
108,292021,Containers specially desi,0.013516753837038804
109,282511,Heat exchange units,0.013514913314150273
110,281413,Temperature regulators (e,0.013498644344397384
111,252911,"Iron or steel reservoirs,",0.013329032444861754
112,265153,Electronic gas or smoke a,0.013311942325939996
113,256122,Wet painting and varnishi,0.013249661109488942
114,331219,Repair and maintenance of,0.013174290248424174
115,331111,Repair and maintenance se,0.013146402683847607
116,293123,Electrical or battery ope,0.012911755162926329
117,141335,Women’s or girls’ trouser,0.012881576995386983
118,257340,Tapping tools for working,0.012876351291378787
119,172113,"Cartons, boxes and cases,",0.012771149428617252
120,257360,Rock drilling or earth bo,0.012724828081500855
121,205943,Hydraulic brake fluids an,0.01271098516341474
122,281211,Hydraulic cylinders,0.012689686292693157
123,222313,"Plastic reservoirs, tanks",0.012684670984999187
124,282913,Oil or petrol-filters for,0.012633666783515598
125,139222,"Tarpaulins, awnings and s",0.01257144767332679
126,244426,Copper tubes and pipes,0.012552039085717162
127,271162,Ferrite cores of transfor,0.012529452236965744
128,281214,Pressure-reducing valves ,0.01249251820873792
129,289230,Pile-drivers and pile-ext,0.012462308460654933
130,222926,Plastic fittings for furn,0.012390644089581009
131,181214,"Printed books, brochures,",0.012321615460213948
132,272021,Lead-acid accumulators of,0.012320351596401158
133,281133,Parts of gas turbines (ex,0.0122876149645526
134,282923,Gaskets and similar joint,0.012224498977931434
135,222991,Plastic parts for machine,0.012091722044796376
136,292010,Bodies for motor cars and,0.012044525550642877
137,222319,Builder’s fittings and mo,0.01200272256939847
138,244413,Unwrought unalloyed refin,0.011944406183342395
139,281313,Positive displacement pum,0.011766873079961652
140,281411,Pressure-reducing valves ,0.01175014543560377
141,141321,"Men’s or boys’ raincoats,",0.011672658999149162
142,279060,Fixed electrical resistor,0.011664886397217324
143,274014,Filament lamps for motorc,0.011634288363461047
144,241064,"Hot-rolled round bars, of",0.011621726920179234
