HS6,short_name_ENG
259317,Iron/steel stud-link chai
291030,Motor vehicles for the tr
281215,Reciprocating positive di
282212,Winches and capstans (exc
257310,Spades and shovels
231926,Signalling glassware and 
275114,Electric blankets
245120,"Tubes, pipes and hollow p"
132032,Woven fabrics of syntheti
102034,"Crustaceans, molluscs and"
332041,Installation of medical a
267022,Binoculars (including nig
303015,Parts for aircraft spark-
325042,Sunglasses
89119,Other chemical and fertil
309111,Motorcycles and cycles wi
332021,Installation of office ma
231412,Mats of irregularly lamin
161022,"Bamboo, incl. strips and "
275128,Domestic electric cookers
302033,Railway or tramway goods 
329955,"Artificial flowers, folia"
254011,"Military weapons, other t"
162925,"Manufactures of straw, of"
266014,Appliances for overcoming
162923,"Corks and stoppers, cylin"
